Identifier,Time_h,Replicate,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S,Type
d,188,3,3,33.991,32.437,1.554,981,4690,-2.266,sample
d,188,3,4,34.075,32.514,1.561,1708,8198,-0.16,sample
d,188,3,5,34.567,32.983,1.584,1716,8237,0.008,sample
b,163.5,9,1,34.333,32.759,1.574,1710,8217,0,sample
b,163.5,9,2,34.607,33.021,1.586,1716,8246,-0.032,sample
b,163.5,9,3,37.509,35.792,1.717,1059,5065,-1.592,sample
b,163.5,9,4,34.242,32.672,1.57,1714,8233,-0.19,sample
b,163.5,9,5,34.712,33.121,1.591,1722,8273,-0.07,sample
b,671,9,1,34.35,32.776,1.574,1714,8231,0,sample
b,671,9,2,34.632,33.045,1.587,1717,8246,-0.02,sample
b,671,9,3,53.169,50.738,2.431,1557,7443,-2.505,sample
b,671,9,4,34.4,32.824,1.576,1721,8262,-0.202,sample
b,671,9,5,34.93,33.33,1.6,1733,8322,-0.063,sample
b,76,6,1,34.566,32.982,1.584,1722,8266,0,sample
b,76,6,2,34.831,33.235,1.596,1727,8293,-0.017,sample
b,76,6,3,38.71,36.941,1.769,1084,5179,-2.775,sample
b,76,6,4,34.687,33.098,1.589,1737,8339,-0.097,sample
b,76,6,5,35.209,33.595,1.613,1747,8389,-0.037,sample
b,102.5,4,1,35.004,33.402,1.602,1741,8352,0,sample
b,102.5,4,2,35.232,33.619,1.613,1751,8400,-0.052,sample
b,102.5,4,3,27.863,26.59,1.273,821,3917,-2.512,sample
b,102.5,4,4,34.878,33.282,1.597,1743,8359,-0.027,sample
b,102.5,4,5,35.329,33.712,1.617,1752,8403,0.025,sample
b,217.5,4,1,35.065,33.458,1.607,1746,8383,0,sample
b,217.5,4,2,35.07,33.463,1.607,1742,8363,-0.014,sample
b,217.5,4,3,27.612,26.349,1.263,834,3982,-2.326,sample
b,217.5,4,4,34.64,33.053,1.587,1733,8320,-0.141,sample
b,217.5,4,5,35.182,33.57,1.612,1744,8376,-0.044,sample
b,217.5,5,1,34.934,33.333,1.601,1739,8351,0,sample
b,217.5,5,2,35.118,33.509,1.609,1744,8374,-0.009,sample
b,217.5,5,3,24.879,23.741,1.139,768,3671,-1.474,sample
b,217.5,5,4,34.834,33.238,1.596,1744,8376,-0.096,sample
b,217.5,5,5,35.354,33.734,1.62,1751,8410,-0.013,sample
b,217.5,6,1,35.496,33.869,1.627,1766,8478,0,sample
b,217.5,6,2,35.702,34.066,1.636,1773,8516,-0.062,sample
b,217.5,6,3,41.558,39.658,1.9,1230,5876,-2.537,sample
b,217.5,6,4,35.38,33.759,1.621,1769,8496,-0.147,sample
b,217.5,6,5,35.968,34.32,1.648,1785,8571,-0.059,sample
b,316.5,5,1,35.607,33.975,1.632,1772,8511,0,sample
b,316.5,5,2,35.791,34.151,1.64,1776,8528,-0.105,sample
b,316.5,5,3,51.128,48.791,2.337,1608,7685,-3.067,sample
b,316.5,5,4,35.426,33.803,1.623,1770,8501,-0.152,sample
b,316.5,5,5,35.824,34.182,1.642,1774,8520,-0.038,sample
AGS2,,,1,35.509,33.881,1.628,1768,8495,0,standard
AGS2,,,2,35.75,34.111,1.639,1772,8515,0.018,standard
AGS2,,,3,61.173,58.364,2.809,1739,8351,1.757,standard
AGS2,,,4,35.521,33.893,1.629,1772,8512,-0.15,standard
AGS2,,,5,35.869,34.224,1.645,1776,8535,-0.05,standard
AGS2,,,1,35.619,33.986,1.633,1770,8504,0,standard
AGS2,,,2,35.806,34.164,1.642,1775,8530,-0.087,standard
AGS2,,,3,32.243,30.761,1.483,887,4258,3.175,standard
AGS2,,,4,35.477,33.85,1.627,1773,8520,-0.148,standard
AGS2,,,5,35.873,34.228,1.645,1774,8527,-0.074,standard
SW,,,1,35.526,33.898,1.628,1765,8477,0,standard
SW,,,2,35.588,33.957,1.631,1767,8486,0.003,standard
SW,,,3,37.015,35.289,1.726,1111,5421,19.897,standard
SW,,,4,35.44,33.815,1.624,1764,8474,0.019,standard
SW,,,5,35.762,34.122,1.639,1770,8503,0.025,standard
SW,,,1,35.928,34.28,1.648,1786,8586,0,standard
SW,,,2,36.182,34.523,1.659,1792,8612,-0.054,standard
SW,,,3,54.87,52.309,2.561,1644,8029,20.06,standard
SW,,,4,35.85,34.206,1.644,1783,8567,-0.077,standard
SW,,,5,36.179,34.52,1.659,1790,8601,-0.038,standard
b,397.5,4,1,35.896,34.251,1.645,1785,8575,0,sample
b,397.5,4,2,35.997,34.347,1.65,1785,8572,-0.024,sample
b,397.5,4,3,39.404,37.602,1.802,1186,5669,-2.505,sample
b,397.5,4,4,35.521,33.893,1.628,1772,8511,-0.104,sample
b,397.5,4,5,35.939,34.292,1.647,1781,8555,-0.031,sample
b,397.5,5,1,35.758,34.118,1.64,1778,8543,0,sample
b,397.5,5,2,35.878,34.233,1.645,1779,8552,-0.049,sample
b,397.5,5,3,57.164,54.55,2.613,1656,7915,-3.722,sample
b,397.5,5,4,35.789,34.148,1.641,1782,8562,-0.165,sample
b,397.5,5,5,36.122,34.465,1.656,1791,8608,-0.126,sample
d,92.75,2,1,35.84,34.197,1.644,1780,8556,0,sample
d,92.75,2,2,36.004,34.353,1.651,1784,8576,0.024,sample
d,92.75,2,3,35.97,34.324,1.646,1062,5080,-2.344,sample
d,92.75,2,4,36.016,34.365,1.652,1794,8621,-0.08,sample
d,92.75,2,5,36.42,34.749,1.67,1800,8652,-0.035,sample
d,163.5,1,1,36.099,34.445,1.655,1795,8620,0,sample
d,163.5,1,2,36.254,34.592,1.662,1793,8613,0,sample
d,163.5,1,3,30.368,28.979,1.39,801,3830,-1.958,sample
d,163.5,1,4,35.772,34.133,1.64,1785,8572,-0.058,sample
d,163.5,1,5,36.159,34.502,1.657,1790,8598,-0.077,sample
b,148.5,4,1,35.832,34.189,1.643,1780,8552,0,sample
b,148.5,4,2,35.961,34.313,1.649,1782,8562,-0.022,sample
b,148.5,4,3,29.873,28.506,1.366,824,3939,-2.705,sample
b,148.5,4,4,35.834,34.192,1.643,1786,8581,-0.099,sample
b,148.5,4,5,36.253,34.591,1.662,1795,8625,-0.098,sample
AGS2,,,1,35.739,34.102,1.637,1775,8520,0,standard
AGS2,,,2,35.902,34.258,1.644,1777,8530,-0.049,standard
AGS2,,,3,17.677,16.865,0.812,529,2537,2.962,standard
AGS2,,,4,35.597,33.967,1.63,1776,8525,-0.01,standard
AGS2,,,5,36.069,34.417,1.652,1784,8563,-0.026,standard
AGS2,,,1,35.92,34.274,1.647,1783,8567,0,standard
AGS2,,,2,36.047,34.395,1.653,1785,8574,-0.023,standard
AGS2,,,3,67.674,64.568,3.106,2080,9981,1.387,standard
AGS2,,,4,36.001,34.35,1.65,1794,8618,-0.121,standard
AGS2,,,5,36.346,34.68,1.666,1798,8638,-0.069,standard
SW,,,1,36.003,34.354,1.649,1787,8575,0,standard
SW,,,2,36.173,34.517,1.657,1794,8607,-0.037,standard
SW,,,3,37.398,35.656,1.742,1160,5651,19.32,standard
SW,,,4,35.765,34.127,1.638,1780,8544,0.035,standard
SW,,,5,36.166,34.51,1.656,1789,8584,0.039,standard
SW,,,1,35.962,34.312,1.65,1786,8584,0,standard
SW,,,2,36.11,34.454,1.656,1790,8604,-0.038,standard
SW,,,3,48.349,46.093,2.255,1425,6959,19.451,standard
SW,,,4,36.059,34.405,1.654,1792,8611,-0.065,standard
SW,,,5,36.323,34.657,1.666,1797,8638,-0.059,standard
d,92.75,1,1,35.555,33.926,1.629,1769,8489,0,sample
d,92.75,1,2,35.796,34.156,1.64,1771,8501,-0.023,sample
d,92.75,1,3,45.96,43.861,2.1,1355,6472,-3.192,sample
d,92.75,1,4,35.382,33.761,1.621,1761,8451,-0.058,sample
d,92.75,1,5,35.703,34.067,1.635,1770,8496,-0.042,sample
d,163.5,2,1,35.71,34.074,1.636,1772,8508,0,sample
d,163.5,2,2,35.811,34.171,1.64,1774,8516,-0.022,sample
d,163.5,2,3,19.545,18.651,0.894,582,2783,-1.662,sample
d,163.5,2,4,35.563,33.934,1.629,1773,8509,-0.112,sample
d,163.5,2,5,35.976,34.328,1.648,1781,8546,-0.086,sample
d,216,2,1,35.69,34.054,1.636,1770,8506,0,sample
d,216,2,2,35.788,34.147,1.641,1773,8520,-0.064,sample
d,216,2,3,8.306,7.926,0.381,254,1216,-0.836,sample
d,216,2,4,35.48,33.853,1.627,1770,8504,-0.101,sample
d,216,2,5,35.999,34.348,1.65,1783,8566,-0.113,sample
AGS2,,,1,36.015,34.363,1.652,1787,8587,0,standard
AGS2,,,2,36.219,34.558,1.661,1790,8603,-0.048,standard
AGS2,,,3,21.169,20.196,0.973,634,3045,1.978,standard
AGS2,,,4,35.83,34.187,1.643,1786,8584,-0.154,standard
AGS2,,,5,36.24,34.578,1.662,1795,8630,-0.116,standard
AGS2,,,1,35.959,34.309,1.649,1785,8579,0,standard
AGS2,,,2,36.066,34.412,1.654,1785,8582,-0.031,standard
AGS2,,,3,49.852,47.562,2.289,1446,6945,1.215,standard
AGS2,,,4,35.703,34.066,1.637,1777,8540,-0.136,standard
AGS2,,,5,36.088,34.432,1.655,1787,8587,-0.105,standard
SW,,,1,35.961,34.312,1.649,1785,8578,0,standard
SW,,,2,36.197,34.536,1.66,1789,8600,0.004,standard
SW,,,3,37.42,35.675,1.745,1101,5373,19.377,standard
SW,,,4,36.053,34.4,1.654,1795,8630,-0.028,standard
SW,,,5,36.45,34.778,1.672,1804,8668,-0.031,standard
SW,,,1,36.207,34.547,1.66,1796,8629,0,standard
SW,,,2,36.441,34.771,1.671,1800,8645,-0.011,standard
SW,,,3,55.282,52.704,2.578,1510,7373,19.556,standard
SW,,,4,36.095,34.44,1.655,1796,8628,-0.03,standard
SW,,,5,36.433,34.762,1.67,1802,8657,-0.009,standard
AGS2,,,1,36.175,34.516,1.659,1796,8633,0,standard
AGS2,,,2,36.361,34.693,1.668,1796,8634,-0.033,standard
AGS2,,,3,34.895,33.292,1.603,995,4779,1.457,standard
AGS2,,,4,35.836,34.192,1.644,1787,8587,-0.126,standard
AGS2,,,5,36.262,34.599,1.663,1795,8627,-0.113,standard
